simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
4,18099.880132298986,17749.972631307373,349.90750099160715,42167.34423373433,15301.173014545771,0.2078928917236336,8766.291140123969
5,14451.428394607456,14108.203380086681,343.22501452077086,47234.426725023404,5024.253294214324,0.587680363837893,27758.745150759416
6,2231.184069775659,1849.1457037553207,382.0383660203385,46859.17465489375,17725.89816127845,0.5741051281595565,26902.092533864852
7,14146.73393623684,13305.668447097994,841.0654891388467,21593.17274959912,2384.912330798351,0.23440402032865096,5061.526510768324
8,5300.326829116739,4686.138853367184,614.1879757495522,26503.378579770044,12361.240664838344,0.33361071629815797,8841.811125586573
9,6498.0752826366825,5778.406327803757,719.6689548329217,43847.03728452448,11228.626449722287,0.5957149493708563,26120.335660621244
10,9341.789144701826,9020.808553868073,320.9805908337434,49548.13344854064,5950.12806384009,0.6913724878279107,34256.216400542195
11,16740.830279312097,16366.394363418403,374.4359158936921,35056.21239938969,12096.976770722424,0.17738383467004656,6218.4053919706785
12,10543.05531771302,10210.217214518258,332.8381031947588,25258.689978548737,9052.949231095348,0.224187614631169,5662.685462298092
13,13628.971689499856,13222.70171037039,406.2699791294612,68045.91123550375,6838.616697128356,0.6992091376696401,47578.32307509887
14,12631.249330112421,12057.07685572275,574.1724743896743,32796.79119419116,1619.1877384540426,0.5654929486426814,18546.35420110516
15,14658.397648799952,13782.706979648005,875.6906691519446,19003.928592632008,1807.6366736513705,0.1335457706449484,2537.8942921136677
16,13992.872374374092,13128.269185454046,864.6031889200328,24713.239945543814,3327.347273327675,0.2991522090525553,7393.020333103961
17,13430.959036790775,12786.138877359595,644.820159431184,49718.89607686677,4482.601986532562,0.6397031634429375,31805.335191537706
18,10618.68902163694,10054.626837084857,564.062184552084,37131.00689817126,13473.502330055197,0.35115706986799516,13038.815603705623
19,16598.32178730859,16118.136089852424,480.18569745616367,30406.542540239498,7735.180169476563,0.19972808831599084,6073.040621449611
20,9306.952223021965,8572.416548431142,734.5356745908182,15486.553947265853,3003.3988692741686,0.20509423085805553,3176.2028744519716
21,8432.722906093126,8014.733668641376,417.98923745175085,74817.23744637155,17843.512772534075,0.6487943620927654,48541.00198077407
22,5848.309977749783,5525.567819773992,322.74215797579086,23513.909955151958,17431.824552368034,0.009942006624756682,233.7754487841758
23,11979.502625214023,11129.58980542109,849.9128197929329,43615.24964424575,19772.8783523178,0.27198901317980345,11862.868726624067
24,17580.49472593133,17185.33038806027,395.1643378710487,28053.854880592236,9985.33732701307,0.017395928573056895,488.0228561983485
25,17846.093879567106,17030.44617458019,815.64770498692,35139.05276840785,8524.255155904902,0.24954297504452058,8768.703779759378
26,12764.18662516561,11796.07484117014,968.1117839954566,25335.836411155626,2727.8183184012705,0.38853390640737806,9843.831509023314
27,17539.230488621946,17019.078176954157,520.1523116677915,28252.72070556156,6186.77651619524,0.16022222341602682,4526.713734387462
28,4720.663524853011,4473.258143318549,247.40538153445704,25300.333912914874,15998.955107634283,0.18105355136793777,4580.715311321337
29,13719.726852405465,12933.10660988788,786.6202425175715,53394.29941781615,16527.97634198003,0.43350313664948287,23146.59631768412
30,9466.047162479197,8652.491240408468,813.5559220707257,29392.571972862323,1449.6239700417905,0.6286248405479223,18476.900919486554
31,10078.208159101849,9673.366141212675,404.84201788916675,40454.41722024112,18825.723363946698,0.2855185300226691,11550.485753813242
